Name,Artist,Album,Time,Genre
The Last One You'd Expect,A Gentleman's Guide to Love and Murder Company,A Gentleman's Guide to Love and Murder (Original Broadway Cast Recording),381,Soundtrack
Finale,A Gentleman's Guide to Love and Murder Company,A Gentleman's Guide to Love and Murder (Original Broadway Cast Recording),142,Soundtrack
Overture / Prologue: A Warning to the Audience,A Gentleman's Guide to Love and Murder Ensemble,A Gentleman's Guide to Love and Murder (Original Broadway Cast Recording),80,Soundtrack
A Warning to Monty,A Gentleman's Guide to Love and Murder Ensemble,A Gentleman's Guide to Love and Murder (Original Broadway Cast Recording),43,Soundtrack
Why Are All the D'Ysquiths Dying,A Gentleman's Guide to Love and Murder Ensemble,A Gentleman's Guide to Love and Murder (Original Broadway Cast Recording),158,Soundtrack
Final Warning,A Gentleman's Guide to Love and Murder Ensemble,A Gentleman's Guide to Love and Murder (Original Broadway Cast Recording),30,Soundtrack
Journey to the Past,Aaliyah,Anastasia (Music from the Motion Picture),244,Soundtrack
"Violin Sonata in F Major, HWV 370, Op. 1, No. 12: I. Adagio",Academy of Ancient Music & Richard Egarr,"Handel: 12 Solo Sonatas, Op. 1",212,Classical
"Violin Sonata in F Major, HWV 370, Op. 1, No. 12: II. Allegro",Academy of Ancient Music & Richard Egarr,"Handel: 12 Solo Sonatas, Op. 1",241,Classical
"Violin Sonata in F Major, HWV 370, Op. 1, No. 12: III. Largo",Academy of Ancient Music & Richard Egarr,"Handel: 12 Solo Sonatas, Op. 1",220,Classical
"Violin Sonata in F Major, HWV 370, Op. 1, No. 12: IV. Allegro",Academy of Ancient Music & Richard Egarr,"Handel: 12 Solo Sonatas, Op. 1",244,Classical
"Horn Concerto No. 1 in D, K. 386b (K. 412 & 514): II. Allegro K. 514","Academy of St. Martin in the Fields, Sir Neville Marriner & Alan Civil",Mozart: Horn Concertos & Oboe Concerto,211,Classical
The Gypsy In Me,Adam Godley & Sutton Foster,Anything Goes (New Broadway Cast Recording),223,Soundtrack
Hello,Adele,25,295,Pop
Cooties,Aimee Allen,Hairspray (Soundtrack To the Motion Picture),161,Soundtrack
Oh Mighty Zeus,Alan Menken,Hercules - An Original Walt Disney Records Soundtrack,45,Soundtrack
The Big Olive,Alan Menken,Hercules - An Original Walt Disney Records Soundtrack,67,Soundtrack
The Prophecy,Alan Menken,Hercules - An Original Walt Disney Records Soundtrack,53,Soundtrack
Destruction of the Agora,Alan Menken,Hercules - An Original Walt Disney Records Soundtrack,127,Soundtrack
Phil's Island,Alan Menken,Hercules - An Original Walt Disney Records Soundtrack,145,Soundtrack
Rodeo,Alan Menken,Hercules - An Original Walt Disney Records Soundtrack,39,Soundtrack
Speak of the Devil,Alan Menken,Hercules - An Original Walt Disney Records Soundtrack,90,Soundtrack
The Hydra Battle,Alan Menken,Hercules - An Original Walt Disney Records Soundtrack,208,Soundtrack
Meg's Garden,Alan Menken,Hercules - An Original Walt Disney Records Soundtrack,74,Soundtrack
Hercules' Villa,Alan Menken,Hercules - An Original Walt Disney Records Soundtrack,37,Soundtrack
All Time Chump,Alan Menken,Hercules - An Original Walt Disney Records Soundtrack,37,Soundtrack
Cutting the Thread,Alan Menken,Hercules - An Original Walt Disney Records Soundtrack,203,Soundtrack
A True Hero / A Star Is Born,"Alan Menken, Cheryl Freeman, Hercules, LaChanze, Lillias White, Roz Ryan & Vaneese Thomas",Hercules - An Original Walt Disney Records Soundtrack,333,Soundtrack
Overture,Alan Menken,Newsies (Original Broadway Cast Recording),72,Soundtrack
That's What I Could Do,Alexander Gemignani,Violet (Original Broadway Cast Recording),157,Soundtrack
Don't Try to Quote to Me...,"Alexander Gemignani, Emerson Steele & Sutton Foster",Violet (Original Broadway Cast Recording),61,Soundtrack
Luck of the Draw,"Alexander Gemignani, Emerson Steele, Sutton Foster, Colin Donnell & Joshua Henry",Violet (Original Broadway Cast Recording),304,Soundtrack
"Kol Nidrei for Violin and Orchestra, Op. 47 (World Premiere Recording - Violin and Orchestra)","Alexandre Da Costa, Orchestre Symphonique Bienne, Daniel Kobliansky & Thomas Rösner",Music By Max Bruch,588,Classical
Move Along,The All-American Rejects,Move Along,238,Alternative
Gives You Hell,The All-American Rejects,When the World Comes Down (Deluxe Edition),213,Alternative
You Can't Stop the Beat,"Amanda Bynes, Elijah Kelley, John Travolta, Nikki Blonsky, Queen Latifah & Zac Efron",Hairspray (Soundtrack To the Motion Picture),324,Soundtrack
Without Love,"Amanda Bynes, Elijah Kelley, Nikki Blonsky & Zac Efron",Hairspray (Soundtrack To the Motion Picture),219,Soundtrack
There! Right There!,"Amber Efe, Kate Shindle, Laura Bell Bundy, Legally Blonde Ensemble, Manuel Herrera, Matthew Risch, Michael Rupert, Natalie Joy Johnson, Nikki Snelson & Richard H. Blake",Legally Blonde - The Musical,207,Soundtrack
He's the Wizard,"Amber Riley, Shanice Williams & Original Television Cast of the Wiz LIVE!",The Wiz LIVE! (Original Soundtrack of the NBC Television Event),152,Pop
Lonely Stranger,"Anastacia Mc Cleskey, Annie Golden, Joshua Henry, Sutton Foster & Colin Donnell",Violet (Original Broadway Cast Recording),240,Soundtrack
Santa Fe (Prologue),Andrew Keenan-Bolger & Jeremy Jordan,Newsies (Original Broadway Cast Recording),185,Soundtrack
"Honey, I'm Good.",Andy Grammer,Magazines or Novels,199,Pop
On the Steps of the Palace,Anna Kendrick,Into the Woods (Original Motion Picture Soundtrack),194,Soundtrack
A Very Nice Prince,Anna Kendrick & Emily Blunt,Into the Woods (Original Motion Picture Soundtrack),90,Soundtrack
No One Is Alone,"Anna Kendrick, James Corden, Lilla Crawford & Daniel Huttlestone",Into the Woods (Original Motion Picture Soundtrack),178,Soundtrack
Omigod You Guys,"Annaleigh Ashford, Delta Nus, Dequina Moore, Laura Bell Bundy & Leslie Kritzer",Legally Blonde - The Musical,346,Soundtrack
Positive,"Annaleigh Ashford, Dequina Moore, Greek Chorus, Laura Bell Bundy & Leslie Kritzer",Legally Blonde - The Musical,192,Soundtrack
What You Want,"Annaleigh Ashford, Dequina Moore, Kate Wetherhead, Laura Bell Bundy & Leslie Kritzer",Legally Blonde - The Musical,487,Soundtrack
Bend And Snap,"Annaleigh Ashford, DeQuinna Moore, Laura Bell Bundy, Legally Blonde Ensemble, Leslie Kritzer & Orfeh",Legally Blonde - The Musical,200,Soundtrack
I Dreamed a Dream,Anne Hathaway,Les Misérables (Highlights from the Motion Picture Soundtrack),278,Soundtrack
Anyone Would Do,"Annie Golden, Joshua Henry, Colin Donnell, Sutton Foster & Rema Webb",Violet (Original Broadway Cast Recording),97,Soundtrack
Blow Us All Away,"Anthony Ramos, Ariana DeBose, Sasha Hutchings, Ephraim Sykes, Lin-Manuel Miranda & Original Broadway Cast of Hamilton",Hamilton (Original Broadway Cast Recording),173,Soundtrack
Schuyler Defeated,"Anthony Ramos, Leslie Odom, Jr., Lin-Manuel Miranda & Phillipa Soo",Hamilton (Original Broadway Cast Recording),63,Soundtrack
Ten Duel Commandments,"Anthony Ramos, Lin-Manuel Miranda, Jon Rua, Leslie Odom, Jr. & Original Broadway Cast of Hamilton",Hamilton (Original Broadway Cast Recording),106,Soundtrack
